web-scraper-order,web-scraper-start-url,Name,GameText,EffectDetail,DexNum,DexImage-src
"1596679994-3322","https://www.serebii.net/abilitydex/sheerforce.shtml","Sheer Force","Removes additional effects to increase the power of moves when attacking.","Moves with a secondary effect are increased in power by 30% but lose their secondary effect","534","/pokedex-swsh/icon/534.png"
"1596680356-4843","https://www.serebii.net/abilitydex/cloudnine.shtml","Cloud Nine","Eliminates the effects of weather.","All weather effects are negated while the Pokémon is on the field.","55","/pokedex-swsh/icon/055.png"
"1596680189-4203","https://www.serebii.net/abilitydex/keeneye.shtml","Keen Eye","Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.","Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent","678","/pokedex-swsh/icon/678-f.png"
"1596680186-4151","https://www.serebii.net/abilitydex/leafguard.shtml","Leaf Guard","Prevents status conditions in sunny weather.","Prevents the Pokémon from being afflicted by status conditions during strong sunlight.","189","/pokedex-sm/icon/189.png"
"1596680117-3871","https://www.serebii.net/abilitydex/overcoat.shtml","Overcoat","Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc.","413","/pokedex-sm/icon/413.png"
"1596680178-4091","https://www.serebii.net/abilitydex/lightmetal.shtml","Light Metal","Halves the Pokémon's weight.","null","884","/pokedex-swsh/icon/884-gi.png"
"1596679995-3365","https://www.serebii.net/abilitydex/shedskin.shtml","Shed Skin","The Pokémon may heal its own status conditions by shedding its skin.","Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE).","665","/pokedex-sm/icon/665.png"
"1596679845-2614","https://www.serebii.net/abilitydex/zenmode.shtml","Zen Mode","Changes the Pokémon's shape when HP is half or less.","When Hit Points get to 50% of maximum, the Pokémon changes form. The Pokémon reverts back to its standard form if it loses this ability or returns to over 50% of its Hit Points","555","/pokedex-swsh/icon/555-z.png"
"1596679950-3163","https://www.serebii.net/abilitydex/stancechange.shtml","Stance Change","The Pokémon changes its form to Blade Forme when it uses an attack move, and changes to Shield Forme when it uses King's Shield.","null","681","/pokedex-swsh/icon/681-b.png"
"1596679865-2679","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","592","/pokedex-swsh/icon/592.png"
"1596680177-4074","https://www.serebii.net/abilitydex/lightningrod.shtml","Lightning Rod","The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.","112","/pokedex-swsh/icon/112.png"
"1596680061-3644","https://www.serebii.net/abilitydex/quickfeet.shtml","Quick Feet","Boosts the Speed stat if the Pokémon has a status condition.","Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored.","262","/pokedex-sm/icon/262.png"
"1596679901-2854","https://www.serebii.net/abilitydex/thickfat.shtml","Thick Fat","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.","Fire and Ice-type moves deal 50% damage.","220","/pokedex-swsh/icon/220.png"
"1596680027-3438","https://www.serebii.net/abilitydex/sandveil.shtml","Sand Veil","Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level.","472","/pokedex-sm/icon/472.png"
"1596680189-4214","https://www.serebii.net/abilitydex/keeneye.shtml","Keen Eye","Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.","Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent","435","/pokedex-swsh/icon/435.png"
"1596680048-3569","https://www.serebii.net/abilitydex/ripen.shtml","Ripen","Ripens Berries and doubles their effect.","null","842","/pokedex-swsh/icon/842-gi.png"
"1596680142-3970","https://www.serebii.net/abilitydex/moldbreaker.shtml","Mold Breaker","Moves can be used on the target regardless of its Abilities.","The Pokémon's moves are not affected by foe’s abilities during battle","181","/pokedex-sm/icon/181-m.png"
"1596679877-2732","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","24","/pokedex-sm/icon/024.png"
"1596680093-3736","https://www.serebii.net/abilitydex/poisontouch.shtml","Poison Touch","May poison a target when the Pokémon makes contact.","When the Pokémon attacks its opponents with a move that causes Physical Contact, there is a 30% chance that the target is Poisoned.","453","/pokedex-swsh/icon/453.png"
"1596679992-3306","https://www.serebii.net/abilitydex/shellarmor.shtml","Shell Armor","A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","589","/pokedex-swsh/icon/589.png"
"1596679972-3229","https://www.serebii.net/abilitydex/snowcloak.shtml","Snow Cloak","Boosts evasion in a hailstorm.","Raises the Pokémon’s evasion during a hailstorm by one level.","471","/pokedex-swsh/icon/471.png"
"1596680276-4598","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","356","/pokedex-swsh/icon/356.png"
"1596680290-4647","https://www.serebii.net/abilitydex/flashfire.shtml","Flash Fire","Powers up the Pokémon's Fire-type moves if it's hit by one.","Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.","838","/pokedex-swsh/icon/838.png"
"1596680103-3786","https://www.serebii.net/abilitydex/pickup.shtml","Pickup","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.","660","/pokedex-swsh/icon/660.png"
"1596680348-4821","https://www.serebii.net/abilitydex/compoundeyes.shtml","Compoundeyes","The Pokémon's compound eyes boost its accuracy.","Raises the Pokémon’s accuracy by 30%.","48","/pokedex-sm/icon/048.png"
