web-scraper-order,web-scraper-start-url,Name,GameText,EffectDetail,DexNums
"1596676432-2200","https://www.serebii.net/abilitydex/contrary.shtml","Contrary","Makes stat changes have an opposite effect.","Moves used on the Pokémon that raise stats lower the stats, while the moves that lower the stats raise the stat","213"
"1596676197-1212","https://www.serebii.net/abilitydex/owntempo.shtml","Own Tempo","This Pokémon has its own tempo, and that prevents it from becoming confused.","The Pokémon cannot be Confused while having this ability. Blocks Intimidate","749"
"1596676123-891","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","261"
"1596676241-1394","https://www.serebii.net/abilitydex/marvelscale.shtml","Marvel Scale","The Pokémon's marvelous scales boost the Defense stat if it has a status condition.","Defense  is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE).","148"
"1596676320-1789","https://www.serebii.net/abilitydex/hypercutter.shtml","Hyper Cutter","The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.","341"
"1596676111-808","https://www.serebii.net/abilitydex/sapsipper.shtml","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks.","203"
"1596676007-249","https://www.serebii.net/abilitydex/teravolt.shtml","Teravolt","Moves can be used on the target regardless of its Abilities.","null","644"
"1596676207-1306","https://www.serebii.net/abilitydex/noguard.shtml","No Guard","The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.","The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%","745"
"1596676488-2440","https://www.serebii.net/abilitydex/adaptability.shtml","Adaptability","Powers up moves of the same type as the Pokémon.","Increases the Same Type Attack Bonus from *1.5 to *2.","341"
"1596676187-1169","https://www.serebii.net/abilitydex/pickup.shtml","Pickup","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle.","417"
"1596676300-1704","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","624"
"1596676233-1383","https://www.serebii.net/abilitydex/minus.shtml","Minus","Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.","When battling with Plus or Minus, Special Attack increases by 50%.","309"
"1596676091-671","https://www.serebii.net/abilitydex/shielddust.shtml","Shield Dust","This Pokémon's dust blocks the additional effects of attacks taken.","Damaging moves used by the opponent will not have an additional effect.","265"
"1596676025-389","https://www.serebii.net/abilitydex/swarm.shtml","Swarm","Powers up Bug-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%.","165"
"1596676267-1506","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","381"
"1596676448-2290","https://www.serebii.net/abilitydex/cheekpouch.shtml","Cheek Pouch","Restores HP as well when the Pokémon eats a Berry.","null","660"
"1596676121-862","https://www.serebii.net/abilitydex/sandforce.shtml","Sand Force","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm","645"
"1596676362-1988","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","477"
"1596676139-987","https://www.serebii.net/abilitydex/reckless.shtml","Reckless","Powers up moves that have recoil damage.","The power of moves that have recoil damage is increased by 20%.","626"
"1596676081-648","https://www.serebii.net/abilitydex/slushrush.shtml","Slush Rush","Boosts the Pokémon's Speed stat in a hailstorm.","Doubles the Pokémon's Speed when Hail is in effect","883"
"1596676033-452","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","410"
"1596676095-725","https://www.serebii.net/abilitydex/sheerforce.shtml","Sheer Force","Removes additional effects to increase the power of moves when attacking.","Moves with a secondary effect are increased in power by 30% but lose their secondary effect","158"
