link,name,typeImageLink,categoryImageLink,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact
https://www.serebii.net/attackdex-swsh/worryseed.shtml,Worry Seed,img/grass.gif,img/other.png,0,A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia.,Changes the opponent's ability to Insomnia,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/seedbomb.shtml,Seed Bomb,img/grass.gif,img/physical.png,80,The user slams a barrage of hard-shelled seeds down on the target from above.,No effect.,-- %,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/smackdown.shtml,Smack Down,img/rock.gif,img/physical.png,50,The user throws a stone or similar projectile to attack the target. A flying Pokémon will fall to the ground when it's hit.,Removes target's Ground-type resistance. Damages Pokémon using Fly & Bounce and cancels the move. Damages Pokémon using Sky Drop,100%,0,4.17%,Selected Target,No
https://www.serebii.net/attackdex-swsh/strengthsap.shtml,Strength Sap,img/grass.gif,img/other.png,0,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,Heals user of Hit Points equal to target's Attack stat. Lowers target's Attack by 1 stage,100%,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/defog.shtml,Defog,img/flying.gif,img/other.png,0,A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.,Lowers opponent's Evasion one stage.,-- %,0,None,Selected Target,No
https://www.serebii.net/attackdex-swsh/tripleaxel.shtml,Triple Axel,img/ice.gif,img/physical.png,20,A consecutive three-kick attack that becomes more powerful with each successful hit.,"Base Power is 20 on the first hit, 40 on the second and 60 on the third",30%,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/doublekick.shtml,Double Kick,img/fighting.gif,img/physical.png,30,The target is quickly kicked twice in succession using both feet.,Attacks twice in a row.,-- %,0,4.17%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/poisontail.shtml,Poison Tail,img/poison.gif,img/physical.png,50,The user hits the target with its tail. This may also poison the target. Critical hits land more easily.,Has high critical hit ratio. May induce poison.,10%,0,12.50%,Selected Target,Yes
https://www.serebii.net/attackdex-swsh/clangoroussoul.shtml,Clangorous Soul,img/dragon.gif,img/other.png,0,The user raises all its stats by using some of its HP.,Lowers user's HP by 33%. Raises each stat by 1 stage,100%,0,None,Self,No
https://www.serebii.net/attackdex-swsh/burningjealousy.shtml,Burning Jealousy,img/fire.gif,img/special.png,70,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,Burns opponents that had a stat boost during this turn,-- %,0,4.17%,Opponent's Side,No
