web-scraper-order,web-scraper-start-url,PrimaryType,SecondaryType,DexNum,Name,Form,FormPrimaryType,FormSecondaryType
"1596754646-5745","https://www.serebii.net/pokedex-sm/417.shtml","Electric-type","null","417","Pachirisu","","",""
"1596754319-5571","https://www.serebii.net/pokedex-sm/580.shtml","Water-type","Flying-type","580","Ducklett","","",""
"1596754322-5572","https://www.serebii.net/pokedex-swsh/reuniclus","Psychic-type","null","579","Reuniclus","","",""
"1596755240-6050","https://www.serebii.net/pokedex-swsh/starmie","Water-type","Psychic-type","121","Starmie","","",""
"1596754806-5830","https://www.serebii.net/pokedex-swsh/lunatone","Rock-type","Psychic-type","337","Lunatone","","",""
"1596755098-5978","https://www.serebii.net/pokedex-sm/192.shtml","Grass-type","null","192","Sunflora","","",""
"1596754778-5814","https://www.serebii.net/pokedex-sm/351.shtml","Normal-type","null","351","Castform","Sunny Form","Fire-type","null"
"1596754253-5538","https://www.serebii.net/pokedex-swsh/cubchoo","Ice-type","null","613","Cubchoo","","",""
"1596755004-5930","https://www.serebii.net/pokedex-sm/239.shtml","Electric-type","null","239","Elekid","","",""
"1596754420-5626","https://www.serebii.net/pokedex-swsh/excadrill","Ground-type","Steel-type","530","Excadrill","","",""
"1596755310-6089","https://www.serebii.net/pokedex-sm/087.shtml","Water-type","Ice-type","87","Dewgong","","",""
"1596755455-6180","https://www.serebii.net/pokedex-sm/016.shtml","Normal-type","Flying-type","16","Pidgey","","",""
"1596754706-5777","https://www.serebii.net/pokedex-sm/387.shtml","Grass-type","null","387","Turtwig","","",""
"1596753993-5402","https://www.serebii.net/pokedex-swsh/ribombee","Bug-type","Fairy-type","743","Ribombee","","",""
"1596755014-5935","https://www.serebii.net/pokedex-sm/234.shtml","Normal-type","null","234","Stantler","","",""
"1596754458-5645","https://www.serebii.net/pokedex-sm/511.shtml","Grass-type","null","511","Pansage","","",""
"1596753807-5307","https://www.serebii.net/pokedex-swsh/boltund","Electric-type","null","836","Boltund","","",""
"1596754502-5668","https://www.serebii.net/pokedex-sm/489.shtml","Water-type","null","489","Phione","","",""
"1596755194-6026","https://www.serebii.net/pokedex-sm/144.shtml","Ice-type","Flying-type","144","Articuno","","",""
"1596755394-6144","https://www.serebii.net/pokedex-swsh/vileplume","Grass-type","Poison-type","45","Vileplume","","",""
"1596753877-5342","https://www.serebii.net/pokedex-swsh/magearna","Steel-type","Fairy-type","801","Magearna","","",""
"1596755327-6101","https://www.serebii.net/pokedex-swsh/rapidash","Fire-type","Fairy-type","78","Rapidash","Normal","Fire-type","null"
"1596754135-5477","https://www.serebii.net/pokedex-sm/672.shtml","Grass-type","null","672","Skiddo","","",""
"1596755285-6075","https://www.serebii.net/pokedex-swsh/kingler","Water-type","null","99","Kingler","","",""
"1596754015-5416","https://www.serebii.net/pokedex-sm/732.shtml","Normal-type","Flying-type","732","Trumbeak","","",""
"1596755032-5944","https://www.serebii.net/pokedex-swsh/delibird","Ice-type","Flying-type","225","Delibird","","",""
"1596755381-6136","https://www.serebii.net/pokedex-swsh/dugtrio","Ground-type","Steel-type","51","Dugtrio","Normal","Ground-type","null"
"1596755174-6016","https://www.serebii.net/pokedex-sm/154.shtml","Grass-type","null","154","Meganium","","",""
"1596754492-5662","https://www.serebii.net/pokedex-sm/494.shtml","Psychic-type","Fire-type","494","Victini","","",""
"1596754432-5632","https://www.serebii.net/pokedex-swsh/roggenrola","Rock-type","null","524","Roggenrola","","",""
"1596753730-5269","https://www.serebii.net/pokedex-swsh/stonjourner","Rock-type","null","874","Stonjourner","","",""
"1596754316-5569","https://www.serebii.net/pokedex-swsh/vanillite","Ice-type","null","582","Vanillite","","",""
"1596755158-6008","https://www.serebii.net/pokedex-sm/162.shtml","Normal-type","null","162","Furret","","",""
"1596754398-5615","https://www.serebii.net/pokedex-sm/541.shtml","Bug-type","Grass-type","541","Swadloon","","",""
"1596754582-5713","https://www.serebii.net/pokedex-swsh/hippopotas","Ground-type","null","449","Hippopotas","","",""
"1596754933-5893","https://www.serebii.net/pokedex-swsh/nuzleaf","Grass-type","Dark-type","274","Nuzleaf","","",""
"1596754307-5565","https://www.serebii.net/pokedex-sm/586.shtml","Normal-type","Grass-type","586","Sawsbuck","","",""
"1596754478-5655","https://www.serebii.net/pokedex-sm/501.shtml","Water-type","null","501","Oshawott","","",""
"1596755297-6081","https://www.serebii.net/pokedex-swsh/haunter","Ghost-type","Poison-type","93","Haunter","","",""
"1596753801-5304","https://www.serebii.net/pokedex-swsh/coalossal","Rock-type","Fire-type","839","Coalossal","","",""
