Link,Name,GameText,EffectDetail
https://www.serebii.net/abilitydex/steamengine.shtml,Steam Engine,Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.,"When this Pokémon is hit by a Fire-type or Water-type move, its Speed is increased by 6 stages"
https://www.serebii.net/abilitydex/earlybird.shtml,Early Bird,The Pokémon awakens twice as fast as other Pokémon from sleep.,"Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly."
https://www.serebii.net/abilitydex/stickyhold.shtml,Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,This Pokémon’s item cannot be taken.
https://www.serebii.net/abilitydex/quickdraw.shtml,Quick Draw,Enables the Pokémon to move first occasionally.,"At the start of each turn, this Pokémon has a 30% chance of moving first in the Speed Priority Bracket"
https://www.serebii.net/abilitydex/pastelveil.shtml,Pastel Veil,Protects the Pokémon and its ally Pokémon from being poisoned.,null
https://www.serebii.net/abilitydex/battlearmor.shtml,Battle Armor,Hard armor protects the Pokémon from critical hits.,Opponent’s moves cannot Critical Hit.
https://www.serebii.net/abilitydex/runaway.shtml,Run Away,Enables a sure getaway from wild Pokémon.,"Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability."
https://www.serebii.net/abilitydex/sandspit.shtml,Sand Spit,The Pokémon creates a sandstorm when it's hit by an attack.,null
https://www.serebii.net/abilitydex/cottondown.shtml,Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.",null
https://www.serebii.net/abilitydex/mummy.shtml,Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.,null
https://www.serebii.net/abilitydex/infiltrator.shtml,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored."
https://www.serebii.net/abilitydex/berserk.shtml,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a  hit that causes its HP to become half or less.,null
https://www.serebii.net/abilitydex/aerilate.shtml,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,Increases the power of Normal-type moves by 20%. It then changes those moves to Flying-type.
https://www.serebii.net/abilitydex/drought.shtml,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,"Weather changes to Intense Sunshine when the Pokémon enters the battle. As of X & Y, this lasts 5 turns."
https://www.serebii.net/abilitydex/powerofalchemy.shtml,Power Of Alchemy,The Pokémon copies the Ability of a defeated ally.,null
https://www.serebii.net/abilitydex/ironbarbs.shtml,Iron Barbs,Inflicts damage to the attacker on contact with iron barbs.,"If physical contact is made on this Pokémon, the opponent will receive damage equal to 1/8th of its maximum HP."
https://www.serebii.net/abilitydex/triage.shtml,Triage,Gives priority to a healing move.,Healing moves have +3 Priority when used by this Pokémon.
https://www.serebii.net/abilitydex/rkssystem.shtml,Rks System,Changes the Pokémon's type to match the memory disc it holds.,null
https://www.serebii.net/abilitydex/megalauncher.shtml,Mega Launcher,Powers up aura and pulse moves.,Increases the power of Aura and Pulse moves by 50%
https://www.serebii.net/abilitydex/sandveil.shtml,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Raises the Pokémon’s evasion during a sandstorm by one level.
https://www.serebii.net/abilitydex/trace.shtml,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.","Ability becomes the same as that of the opponent. Switching this Pokémon out of battle restores its original ability. In a Double/Triple Battle, a random opponent’s ability will be copied."
https://www.serebii.net/abilitydex/minus.shtml,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,"When battling with Plus or Minus, Special Attack increases by 50%."
https://www.serebii.net/abilitydex/powerconstruct.shtml,Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.,null
https://www.serebii.net/abilitydex/parentalbond.shtml,Parental Bond,Parent and child each attacks.,"Every move used by the Pokémon will hit twice. The damage inflicted by the second hit is reduced to 25%. If the move used is a damaging move, each hit is capable of afflicting Secondary Effects and Critical Hits"
https://www.serebii.net/abilitydex/flowerveil.shtml,Flower Veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.,null
https://www.serebii.net/abilitydex/shedskin.shtml,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,"Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE)."
https://www.serebii.net/abilitydex/dryskin.shtml,Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in sunshine, and increases the damage received from Fire-type moves.",HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight.
https://www.serebii.net/abilitydex/hungerswitch.shtml,Hunger Switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn.",null
https://www.serebii.net/abilitydex/klutz.shtml,Klutz,The Pokémon can't use any held items.,The Pokémon cannot receive any effect of hold items except those that affect experience such as Exp.Share or Macho Brace.
https://www.serebii.net/abilitydex/tangledfeet.shtml,Tangled Feet,Raises evasion if the Pokémon is confused.,Pokémon’s evasion raises one level when Confused.
https://www.serebii.net/abilitydex/neuroforce.shtml,Neuroforce,Increases the power of supereffective attacks.,Increases the power of Super Effective moves used by this Pokémon by 20%
https://www.serebii.net/abilitydex/magmaarmor.shtml,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.",This Pokémon cannot be Frozen while having this ability.
https://www.serebii.net/abilitydex/gorillatactics.shtml,Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,"Raises the Pokémon's Attack stat by one stage, but locks the Pokémon into using the first attack it uses after being sent out"
https://www.serebii.net/abilitydex/dazzling.shtml,Dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves.",Prevents the opponent from using moves with increased Speed Priority on this Pokémon.
https://www.serebii.net/abilitydex/overcoat.shtml,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc."
https://www.serebii.net/abilitydex/filter.shtml,Filter,Reduces the power of supereffective attacks taken.,Damage by super-effective moves is reduced by 25%.
https://www.serebii.net/abilitydex/limber.shtml,Limber,Its limber body protects the Pokémon from paralysis.,The Pokémon cannot be Paralysed while having this ability.
https://www.serebii.net/abilitydex/galvanize.shtml,Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,Increases the power of Normal-type moves by 20%. It then changes those moves to Electric-type.
https://www.serebii.net/abilitydex/soundproof.shtml,Soundproof,Soundproofing of the Pokémon itself gives full  immunity to all sound-based moves.,"Unaffected by sound moves. If this Pokémon switches out with Baton Pass, Perish Song against the switched out will not be nullified."
https://www.serebii.net/abilitydex/poisonpoint.shtml,Poison Point,Contact with the Pokémon may poison the attacker.,"The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon."
https://www.serebii.net/abilitydex/hugepower.shtml,Huge Power,Doubles the Pokémon's Attack stat.,The Pokémon's Attack stat is doubled while it has this ability.
https://www.serebii.net/abilitydex/rivalry.shtml,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Attack & Special Attack is increased by 25% if the foe is of the same gender; Attack & Special Attack is decreased by 25% if the foe is of the opposite gender.
https://www.serebii.net/abilitydex/punkrock.shtml,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Increases the damage of Sound based moves by 30%. Reduces damage taken by this Pokémon by Sound based moves by 50%.
https://www.serebii.net/abilitydex/heatproof.shtml,Heatproof,The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.,Damage from Fire-type moves and the Burn status is halved.
https://www.serebii.net/abilitydex/chlorophyll.shtml,Chlorophyll,Boosts the Pokémon's Speed stat in sunshine.,"When sunny, the Pokémon’s Speed doubles."
https://www.serebii.net/abilitydex/shellarmor.shtml,Shell Armor,A hard shell protects the Pokémon from critical hits.,Opponent’s moves cannot Critical Hit.
https://www.serebii.net/abilitydex/steelyspirit.shtml,Steely Spirit,Powers up ally Pokémon's Steel-type moves.,Increases the power of Steel-type moves used by the user or any Ally Pokémon by 50%
https://www.serebii.net/abilitydex/flashfire.shtml,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,"Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect."
https://www.serebii.net/abilitydex/tanglinghair.shtml,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Lowers opponent's Speed by 1 stage when the opponent makes physical contact with the Pokémon
https://www.serebii.net/abilitydex/teravolt.shtml,Teravolt,Moves can be used on the target regardless of its Abilities.,null
https://www.serebii.net/abilitydex/beastboost.shtml,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,Increases the Pokémon's highest stat when it knocks out a Pokémon
