web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597854547-1112","https://www.serebii.net//attackdex-sm/wildcharge.shtml","Wild Charge","/pokedex-bw/type/electric.gif","/pokedex-bw/type/physical.png","90","The user shrouds itself in electricity and smashes into its target. This also damages the user a little.","User takes recoil damage equal to 25% of the damage inflicted.","-- %","0","4.17%","Selected Target","Yes","100","Gigavolt Havoc","175","Gigavolt Havoc","null"
"1597854942-1307","https://www.serebii.net//attackdex-sm/roleplay.shtml","Role Play","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user mimics the target completely, copying the target's natural Ability.","Copies the target Pokémon's ability","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855577-1622","https://www.serebii.net//attackdex-sm/fireblast.shtml","Fire Blast","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","110","The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.","May induce burn.","10 %","0","4.17%","Selected Target","No","85","Inferno Overdrive","185","Inferno Overdrive","null"
"1597855736-1701","https://www.serebii.net//attackdex-sm/crunch.shtml","Crunch","/pokedex-bw/type/dark.gif","/pokedex-bw/type/physical.png","80","The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.","May lower opponent's Defense one stage.","20 %","0","4.17%","Selected Target","Yes","100","Black Hole Eclipse","160","Black Hole Eclipse","null"
"1597854644-1160","https://www.serebii.net//attackdex-sm/throatchop.shtml","Throat Chop","/pokedex-bw/type/dark.gif","/pokedex-bw/type/physical.png","80","The user attacks the target's throat, and the resultant suffering prevents the target from using moves that emit sound for two turns.","Prevents target from using Sound moves for 2 turns","100 %","0","4.17%","Selected Target","Yes","100","Black Hole Eclipse","160","Black Hole Eclipse","null"
"1597855166-1417","https://www.serebii.net//attackdex-sm/mud-slap.shtml","Mud-Slap","/pokedex-bw/type/ground.gif","/pokedex-bw/type/special.png","20","The user hurls mud in the target's face to inflict damage and lower its accuracy.","May lower opponent's Accuracy one stage.","100 %","0","4.17%","Selected Target","No","100","Tectonic Rage","100","Tectonic Rage","null"
"1597855963-1813","https://www.serebii.net//attackdex-sm/aciddownpour.shtml","Acid Downpour","/pokedex-bw/type/poison.gif","/pokedex-bw/type/physical.png","1","The user creates a poisonous swamp using its Z-Power and sinks the target into it at full force. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855545-1606","https://www.serebii.net//attackdex-sm/flatter.shtml","Flatter","/pokedex-bw/type/dark.gif","/pokedex-bw/type/other.png","0","Flattery is used to confuse the target. However, this also raises the target's Sp. Atk stat.","Induces Confusion. Raises opponent's Special Attack one stage.","-- %","0","None","Selected Target","No","100","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855791-1728","https://www.serebii.net//attackdex-sm/circlethrow.shtml","Circle Throw","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","60","The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","Forces opponent to switch Pokémon.","-- %","-6","4.17%","Selected Target","Yes","90","All-Out Pummeling","120","All-Out Pummeling","null"
"1597855220-1444","https://www.serebii.net//attackdex-sm/megahorn.shtml","Megahorn","/pokedex-bw/type/bug.gif","/pokedex-bw/type/physical.png","120","Using its tough and impressive horn, the user rams into the target with no letup.","No effect.","-- %","0","4.17%","Selected Target","Yes","85","Savage Spin-Out","190","Savage Spin-Out","null"
"1597855505-1586","https://www.serebii.net//attackdex-sm/frustration.shtml","Frustration","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","This full-power attack grows more powerful the less the user likes its Trainer.","The less happy the user, the stronger the Attack.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","160","Breakneck Blitz","null"
"1597854948-1310","https://www.serebii.net//attackdex-sm/rockthrow.shtml","Rock Throw","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","50","The user picks up and throws a small rock at the target to attack.","No effect.","-- %","0","4.17%","Selected Target","No","90","Continental Crush","100","Continental Crush","null"
"1597854619-1148","https://www.serebii.net//attackdex-sm/toxicthread.shtml","Toxic Thread","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","The user shoots poisonous threads to poison the target and lower the target's Speed stat.","Inflicts Poison. Lowers opponent's Speed by 1 stage.","100 %","0","None","Selected Target","No","100","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597854523-1100","https://www.serebii.net//attackdex-sm/yawn.shtml","Yawn","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.","Target falls asleep during the next turn.","-- %","0","None","Selected Target","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855172-1420","https://www.serebii.net//attackdex-sm/mudbomb.shtml","Mud Bomb","/pokedex-bw/type/ground.gif","/pokedex-bw/type/special.png","65","The user launches a hard-packed mud ball to attack. This may also lower the target's accuracy.","May lower opponent's Accuracy one stage.","30 %","0","4.17%","Selected Target","No","85","Tectonic Rage","120","Tectonic Rage","null"
"1597854934-1303","https://www.serebii.net//attackdex-sm/rototiller.shtml","Rototiller","/pokedex-bw/type/ground.gif","/pokedex-bw/type/other.png","0","Tilling the soil, the user makes it easier for plants to grow. This raises the Attack and Sp. Atk stats of Grass-type Pokémon.","Raises Attack & Special Attack stats of Grass-type Pokémon on the field","100 %","0","None","All","No","0","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597854839-1256","https://www.serebii.net//attackdex-sm/skyuppercut.shtml","Sky Uppercut","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","85","The user attacks the target with an uppercut thrown skyward with force.","Hits opponents using Fly","-- %","0","4.17%","Selected Target","Yes","90","All-Out Pummeling","160","All-Out Pummeling","null"
"1597854535-1106","https://www.serebii.net//attackdex-sm/woodhammer.shtml","Wood Hammer","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","120","The user slams its rugged body into the target to attack. This also damages the user quite a lot.","User takes recoil damage equal to a third of the damage inflicted.","-- %","0","4.17%","Selected Target","Yes","100","Bloom Doom","190","Bloom Doom","null"
"1597854763-1219","https://www.serebii.net//attackdex-sm/splinteredstormshards.shtml","Splintered Stormshards","/pokedex-bw/type/rock.gif","/pokedex-bw/type/physical.png","190","After obtaining Z-Power, the user, Lycanroc, attacks the target with full force. This move negates the effect on the battlefield.","Destroys Terrains","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597854899-1286","https://www.serebii.net//attackdex-sm/secretsword.shtml","Secret Sword","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/special.png","85","The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.","Inflicts physical damage","-- %","0","4.17%","Selected Target","No","100","All-Out Pummeling","160","All-Out Pummeling","null"
"1597854609-1143","https://www.serebii.net//attackdex-sm/trick-or-treat.shtml","Trick-or-Treat","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/other.png","0","The user takes the target trick-or-treating. This adds Ghost type to the target's type.","Target gains the Ghost-type","-- %","0","None","Selected Target","No","100","null","null","Stats ↥","Boosts all stats by 1 stage"
"1597855256-1462","https://www.serebii.net//attackdex-sm/lusterpurge.shtml","Luster Purge","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","70","The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.","May lower opponent's Special Defense one stage.","50 %","0","4.17%","Selected Target","No","100","Shattered Psyche","140","Shattered Psyche","null"
"1597855360-1514","https://www.serebii.net//attackdex-sm/hypnosis.shtml","Hypnosis","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user employs hypnotic suggestion to make the target fall into a deep sleep.","Induces sleep.","-- %","0","None","Selected Target","No","60","null","null","Speed ↥","Boosts Speed by 1 stage"
