DexNum,Name,AbilityTextDump
1,Bulbasaur,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/overgrow.shtml""><b>Overgrow</b></a>: When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/chlorophyll.shtml""><b>Chlorophyll</b></a>: When sunny, the Pokémon’s Speed doubles. </td>"
2,Ivysaur,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/overgrow.shtml""><b>Overgrow</b></a>: When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/chlorophyll.shtml""><b>Chlorophyll</b></a>: When sunny, the Pokémon’s Speed doubles. </td>"
3,Venusaur,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/overgrow.shtml""><b>Overgrow</b></a>: When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/chlorophyll.shtml""><b>Chlorophyll</b></a>: When sunny, the Pokémon’s Speed doubles. </td>"
4,Charmander,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/blaze.shtml""><b>Blaze</b></a>: When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/solarpower.shtml""><b>Solar Power</b></a>: During sunshine, the Pokémon’s Special Attack raises to 1.5 times but HP decreases by 1/8th the maximum HP every turn. </td>"
5,Charmeleon,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/blaze.shtml""><b>Blaze</b></a>: When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/solarpower.shtml""><b>Solar Power</b></a>: During sunshine, the Pokémon’s Special Attack raises to 1.5 times but HP decreases by 1/8th the maximum HP every turn. </td>"
6,Charizard,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/blaze.shtml""><b>Blaze</b></a>: When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/solarpower.shtml""><b>Solar Power</b></a>: During sunshine, the Pokémon’s Special Attack raises to 1.5 times but HP decreases by 1/8th the maximum HP every turn. </td>"
7,Squirtle,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/torrent.shtml""><b>Torrent</b></a>: When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/raindish.shtml""><b>Rain Dish</b></a>: If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn. </td>"
8,Wartortle,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/torrent.shtml""><b>Torrent</b></a>: When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/raindish.shtml""><b>Rain Dish</b></a>: If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn. </td>"
9,Blastoise,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/torrent.shtml""><b>Torrent</b></a>: When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/raindish.shtml""><b>Rain Dish</b></a>: If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn. </td>"
10,Caterpie,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/shielddust.shtml""><b>Shield Dust</b></a>: Damaging moves used by the opponent will not have an additional effect. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/runaway.shtml""><b>Run Away</b></a>: Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability. </td>"
11,Metapod,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/shedskin.shtml""><b>Shed Skin</b></a>: Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE). </td>"
12,Butterfree,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/compoundeyes.shtml""><b>Compoundeyes</b></a>: Raises the Pokémon’s accuracy by 30%. <br>
<b>Hidden Ability</b> <i>(Available)</i>: <br><a href=""/abilitydex/tintedlens.shtml""><b>Tinted Lens</b></a>: The power of “not very effective” moves is doubled. </td>"
13,Weedle,"<td align=""left"" colspan=""5"" class=""fooinfo"">
<a href=""/abilitydex/shielddust.shtml""><b>Shield Dust</b></a>: Damaging moves used by the opponent will not have an additional effect. <br>
<b>Hidden Ability</b> <i>(Available through transfer)</i>: <br><a href=""/abilitydex/runaway.shtml""><b>Run Away</b></a>: Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability. </td>"
