web-scraper-order,web-scraper-start-url,DexNum,name,form,eggMoveName,eggMoveForm
"1598637035-5946","https://www.serebii.net/pokedex-sm/330.shtml","330","Uproar","","",""
"1598637162-6513","https://www.serebii.net/pokedex-sm/283.shtml","283","Signal Beam","","",""
"1598636679-4302","https://www.serebii.net/pokedex-sm/466.shtml","466","Ice Punch","","",""
"1598636873-5154","https://www.serebii.net/pokedex-sm/391.shtml","391","Gunk Shot","","",""
"1598636412-2972","https://www.serebii.net/pokedex-sm/565.shtml","565","Knock Off","","",""
"1598637238-6834","https://www.serebii.net/pokedex-sm/254.shtml","254","Synthesis","","",""
"1598635921-772","https://www.serebii.net/pokedex-sm/747.shtml","747","Icy Wind","","",""
"1598637729-9384","https://www.serebii.net/pokedex-sm/092.shtml","92","Pain Split","","",""
"1598635970-979","https://www.serebii.net/pokedex-sm/731.shtml","731","Sky Attack","","",""
"1598636260-2345","https://www.serebii.net/pokedex-sm/619.shtml","619","Snore","","",""
"1598636363-2709","https://www.serebii.net/pokedex-sm/583.shtml","583","Iron Defense","","",""
"1598635881-627","https://www.serebii.net/pokedex-sm/760.shtml","760","Superpower","","",""
"1598637851-10259","https://www.serebii.net/pokedex-sm/059.shtml","59","","","Fire Spin",""
"1598637597-8504","https://www.serebii.net/pokedex-sm/128.shtml","128","Role Play","","",""
"1598636109-1566","https://www.serebii.net/pokedex-sm/678.shtml","678","Zen Headbutt","","",""
"1598637147-6457","https://www.serebii.net/pokedex-sm/288.shtml","288","Covet","","",""
"1598636255-2325","https://www.serebii.net/pokedex-sm/621.shtml","621","Heat Wave","","",""
"1598635903-720","https://www.serebii.net/pokedex-sm/752.shtml","752","Magic Room","","",""
"1598635857-514","https://www.serebii.net/pokedex-sm/769.shtml","769","Giga Drain","","",""
"1598636697-4397","https://www.serebii.net/pokedex-sm/459.shtml","459","Ice Punch","","",""
"1598636827-5001","https://www.serebii.net/pokedex-sm/409.shtml","409","Stealth Rock","","",""
"1598635959-943","https://www.serebii.net/pokedex-sm/735.shtml","735","Endeavor","","",""
"1598636536-3538","https://www.serebii.net/pokedex-sm/517.shtml","517","Skill Swap","","",""
"1598636052-1314","https://www.serebii.net/pokedex-sm/701.shtml","701","Dual Chop","","",""
"1598637882-10550","https://www.serebii.net/pokedex-sm/051.shtml","51","","","Headbutt","Normal"
"1598636280-2417","https://www.serebii.net/pokedex-sm/612.shtml","612","Laser Focus","","",""
"1598636876-5166","https://www.serebii.net/pokedex-sm/390.shtml","390","Low Kick","","",""
"1598635874-611","https://www.serebii.net/pokedex-sm/762.shtml","762","Endeavor","","",""
"1598636833-5024","https://www.serebii.net/pokedex-sm/407.shtml","407","Laser Focus","","",""
