link,DexNum,name,form,eggMoveName,eggMoveForm
https://www.serebii.net/pokedex-sm/135.shtml,135,Iron Tail,,,
https://www.serebii.net/pokedex-sm/770.shtml,770,Pain Split,,,
https://www.serebii.net/pokedex-sm/182.shtml,182,Snore,,,
https://www.serebii.net/pokedex-sm/710.shtml,710,Worry Seed,,,
https://www.serebii.net/pokedex-sm/507.shtml,507,,,Psychic Fangs,
https://www.serebii.net/pokedex-sm/058.shtml,58,,,Flare Blitz,
https://www.serebii.net/pokedex-sm/505.shtml,505,Shock Wave,,,
https://www.serebii.net/pokedex-sm/609.shtml,609,Ally Switch,,,
https://www.serebii.net/pokedex-sm/555.shtml,555,,,Encore,
https://www.serebii.net/pokedex-sm/005.shtml,5,Dragon Pulse,,,
https://www.serebii.net/pokedex-sm/534.shtml,534,Helping Hand,,,
https://www.serebii.net/pokedex-sm/136.shtml,136,Hyper Voice,,,
https://www.serebii.net/pokedex-sm/089.shtml,89,,,Imprison,Normal
https://www.serebii.net/pokedex-sm/295.shtml,295,Outrage,,,
https://www.serebii.net/pokedex-sm/183.shtml,183,,,Refresh,
https://www.serebii.net/pokedex-sm/076.shtml,76,,,Mega Punch,Normal
https://www.serebii.net/pokedex-sm/796.shtml,796,Bind,,,
https://www.serebii.net/pokedex-sm/104.shtml,104,,,Belly Drum,
https://www.serebii.net/pokedex-sm/151.shtml,151,Bug Bite,,,
https://www.serebii.net/pokedex-sm/568.shtml,568,Pain Split,,,
https://www.serebii.net/pokedex-sm/724.shtml,724,,,Ominous Wind,
https://www.serebii.net/pokedex-sm/447.shtml,447,Focus Punch,,,
https://www.serebii.net/pokedex-sm/787.shtml,787,Focus Punch,,,
https://www.serebii.net/pokedex-sm/089.shtml,89,,,Shadow Sneak,Alola
https://www.serebii.net/pokedex-sm/447.shtml,447,,,Mind Reader,
https://www.serebii.net/pokedex-sm/461.shtml,461,Snore,,,
https://www.serebii.net/pokedex-sm/460.shtml,460,,,Leech Seed,
https://www.serebii.net/pokedex-sm/425.shtml,425,Spite,,,
https://www.serebii.net/pokedex-sm/605.shtml,605,,,Nasty Plot,
https://www.serebii.net/pokedex-sm/624.shtml,624,Low Kick,,,
https://www.serebii.net/pokedex-sm/579.shtml,579,Gravity,,,
https://www.serebii.net/pokedex-sm/333.shtml,333,Outrage,,,
https://www.serebii.net/pokedex-sm/492.shtml,492,Synthesis,Land,,
https://www.serebii.net/pokedex-sm/643.shtml,643,Snore,,,
https://www.serebii.net/pokedex-sm/295.shtml,295,,,Circle Throw,
https://www.serebii.net/pokedex-sm/662.shtml,662,Snatch,,,
https://www.serebii.net/pokedex-sm/561.shtml,561,,,Roost,
https://www.serebii.net/pokedex-sm/557.shtml,557,Snore,,,
https://www.serebii.net/pokedex-sm/432.shtml,432,Stomping Tantrum,,,
https://www.serebii.net/pokedex-sm/257.shtml,257,Snore,,,
https://www.serebii.net/pokedex-sm/026.shtml,26,Laser Focus,Raichu,,
https://www.serebii.net/pokedex-sm/573.shtml,573,,,Endure,
https://www.serebii.net/pokedex-sm/352.shtml,352,Snore,,,
https://www.serebii.net/pokedex-sm/188.shtml,188,,,Confusion,
https://www.serebii.net/pokedex-sm/430.shtml,430,Sky Attack,,,
https://www.serebii.net/pokedex-sm/166.shtml,166,Giga Drain,,,
https://www.serebii.net/pokedex-sm/429.shtml,429,,,Destiny Bond,
https://www.serebii.net/pokedex-sm/455.shtml,455,Giga Drain,,,
https://www.serebii.net/pokedex-sm/781.shtml,781,Role Play,,,
https://www.serebii.net/pokedex-sm/806.shtml,806,Heat Wave,,,
https://www.serebii.net/pokedex-sm/269.shtml,269,Tailwind,,,
https://www.serebii.net/pokedex-sm/528.shtml,528,Giga Drain,,,
https://www.serebii.net/pokedex-sm/393.shtml,393,,,Hydro Pump,
https://www.serebii.net/pokedex-sm/074.shtml,74,Focus Punch,Alola,,
https://www.serebii.net/pokedex-sm/157.shtml,157,,,Flame Burst,
https://www.serebii.net/pokedex-sm/052.shtml,52,,,Amnesia,Normal
https://www.serebii.net/pokedex-sm/187.shtml,187,,,Cotton Guard,
https://www.serebii.net/pokedex-sm/147.shtml,147,,,Iron Tail,
https://www.serebii.net/pokedex-sm/165.shtml,165,,,Dizzy Punch,
https://www.serebii.net/pokedex-sm/498.shtml,498,,,Curse,
https://www.serebii.net/pokedex-sm/748.shtml,748,Liquidation,,,
https://www.serebii.net/pokedex-sm/230.shtml,230,,,Water Pulse,
https://www.serebii.net/pokedex-sm/045.shtml,45,Gastro Acid,,,
https://www.serebii.net/pokedex-sm/669.shtml,669,,,Camouflage,
https://www.serebii.net/pokedex-sm/151.shtml,151,Magic Coat,,,
https://www.serebii.net/pokedex-sm/512.shtml,512,Low Kick,,,
https://www.serebii.net/pokedex-sm/345.shtml,345,Gastro Acid,,,
https://www.serebii.net/pokedex-sm/467.shtml,467,,,Screech,
https://www.serebii.net/pokedex-sm/076.shtml,76,Superpower,Golem,,
https://www.serebii.net/pokedex-sm/575.shtml,575,,,Mean Look,
https://www.serebii.net/pokedex-sm/747.shtml,747,Gastro Acid,,,
https://www.serebii.net/pokedex-sm/586.shtml,586,Last Resort,,,
https://www.serebii.net/pokedex-sm/251.shtml,251,Snore,,,
https://www.serebii.net/pokedex-sm/048.shtml,48,Giga Drain,,,
https://www.serebii.net/pokedex-sm/464.shtml,464,,,Skull Bash,
https://www.serebii.net/pokedex-sm/499.shtml,499,Endeavor,,,
https://www.serebii.net/pokedex-sm/320.shtml,320,Hyper Voice,,,
https://www.serebii.net/pokedex-sm/335.shtml,335,Knock Off,,,
https://www.serebii.net/pokedex-sm/569.shtml,569,Recycle,,,
https://www.serebii.net/pokedex-sm/154.shtml,154,Worry Seed,,,
https://www.serebii.net/pokedex-sm/608.shtml,608,Trick,,,
https://www.serebii.net/pokedex-sm/246.shtml,246,,,Pursuit,
https://www.serebii.net/pokedex-sm/115.shtml,115,,,Disable,
https://www.serebii.net/pokedex-sm/229.shtml,229,Heat Wave,,,
https://www.serebii.net/pokedex-sm/033.shtml,33,Drill Run,,,
